# Features in the gas layer use the startprob as volume, ignore probdecr, and spawn in only a single point.
# Intercepts and slopes are in units of 0.01.

tileType,layer,start,decr,fl,txt,flare,fCol,fRad,propTerrain,subseqDF

# {0}, nothing
GRANITE,DUNGEON,80,70,DFF_CLEAR_OTHER_TERRAIN
CRYSTAL_WALL,DUNGEON,200,50,DFF_CLEAR_OTHER_TERRAIN
LUMINESCENT_FUNGUS,SURFACE,60,8,DFF_BLOCKED_BY_OTHER_LAYERS
GRASS,SURFACE,75,5,DFF_BLOCKED_BY_OTHER_LAYERS
DEAD_GRASS,SURFACE,75,5,DFF_BLOCKED_BY_OTHER_LAYERS,"", 0,0,0,0,DF_DEAD_FOLIAGE
BONES,SURFACE,75,23,0
RUBBLE,SURFACE,45,23,0
FOLIAGE,SURFACE,100,33,(DFF_BLOCKED_BY_OTHER_LAYERS)
FUNGUS_FOREST,SURFACE,100,45,(DFF_BLOCKED_BY_OTHER_LAYERS)
DEAD_FOLIAGE,SURFACE,50,30,(DFF_BLOCKED_BY_OTHER_LAYERS)

# misc. liquids
SUNLIGHT_POOL,LIQUID,65,6,0
DARKNESS_PATCH,LIQUID,65,11,0

# Dungeon features spawned during gameplay:

# revealed secrets
DOOR,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
GAS_TRAP_POISON,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
GAS_TRAP_PARALYSIS,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
CHASM_EDGE,LIQUID,100,100,0, "", GENERIC_FLASH_LIGHT
TRAP_DOOR,LIQUID,0,0,DFF_CLEAR_OTHER_TERRAIN, "", GENERIC_FLASH_LIGHT, 0, 0, 0, DF_SHOW_TRAPDOOR_HALO
GAS_TRAP_CONFUSION,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
FLAMETHROWER,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
FLOOD_TRAP,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
NET_TRAP,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT
ALARM_TRAP,DUNGEON,0,0,0, "", GENERIC_FLASH_LIGHT

# bloods
# Start probability is actually a percentage for bloods.
# Base probability is 15 + (damage * 2/3), and then take the given percentage of that.
# If it's a gas, we multiply the base by an additional 100.
# Thus to get a starting gas volume of a poison potion (1000), with a hit for 10 damage, use a starting probability of 48.
RED_BLOOD,SURFACE,100,25,0
GREEN_BLOOD,SURFACE,100,25,0
PURPLE_BLOOD,SURFACE,100,25,0
WORM_BLOOD,SURFACE,100,25,0
ACID_SPLATTER,SURFACE,200,25,0
ASH,SURFACE,50,25,0
EMBERS,SURFACE,125,25,0
ECTOPLASM,SURFACE,110,25,0
RUBBLE,SURFACE,33,25,0
ROT_GAS,GAS,12,0,0

# monster effects
VOMIT,SURFACE,30,10,0
POISON_GAS,GAS,2000,0,0
GAS_EXPLOSION,SURFACE,350,100,0,"", EXPLOSION_FLARE_LIGHT
RED_BLOOD,SURFACE,150,30,0
FLAMEDANCER_FIRE,SURFACE,200,75,0

# mutation effects
GAS_EXPLOSION,SURFACE,350,100,0,"The corpse detonates with terrifying force!", EXPLOSION_FLARE_LIGHT
LICHEN,SURFACE,70,60,0,"Poisonous spores burst from the corpse!"

# misc
NOTHING,GAS,0,0,DFF_EVACUATE_CREATURES_FIRST
ROT_GAS,GAS,15,0,0
STEAM,GAS,325,0,0
STEAM,GAS,15,0,0
METHANE_GAS,GAS,2,0,0
EMBERS,SURFACE,0,0,0
URINE,SURFACE,65,25,0
UNICORN_POOP,SURFACE,65,40,0
PUDDLE,SURFACE,13,25,0
ASH,SURFACE,0,0,0
ECTOPLASM,SURFACE,0,0,0
FORCEFIELD,SURFACE,100,50,0
FORCEFIELD_MELT, SURFACE,0,0,0
SACRED_GLYPH,LIQUID, 100,100,0,"", EMPOWERMENT_LIGHT
LICHEN,SURFACE,2,100,(DFF_BLOCKED_BY_OTHER_LAYERS)}, // Lichen won't spread through lav
RUBBLE,SURFACE,45,23,(DFF_ACTIVATE_DORMANT_MONSTER)
RUBBLE,SURFACE,0,0,(DFF_ACTIVATE_DORMANT_MONSTER)

