"enchanting",			"", "",	0,	550,	0,{0,0,0}, false, false, "This ancient enchanting sorcery will imbue a single item with a powerful and permanent magical charge. A staff will increase in power and in number of charges; a weapon will inflict more damage and find its mark more easily; a suit of armor will deflect attacks more often; the magic of a ring will intensify; and a wand will gain expendable charges in the least amount that such a wand can be found with. Weapons and armor will also require less strength to use, and any curses on the item will be lifted."
"identify",				"", "",	30,	300,	0,{0,0,0}, false, false, "This scrying magic will permanently reveal all of the secrets of a single item."
"teleportation",		"", "",	10,	500,	0,{0,0,0}, false, false, "This escape spell will instantly relocate you to a random location on the dungeon level. It can be used to escape a dangerous situation with luck. The unlucky reader might find himself in an even more dangerous place."
"remove curse",			"", "",	15,	150,	0,{0,0,0}, false, false, "This redemption spell will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them."
"recharging",			"", "",	12,	375,	0,{0,0,0}, false, false, "The power bound up in this parchment will instantly recharge all of your staffs and charms."
"protect armor",		"", "",	10,	400,	0,{0,0,0}, false, false, "This ceremonial shielding magic will permanently proof your armor against degradation by acid."
"protect weapon",		"", "",	10,	400,	0,{0,0,0}, false, false, "This ceremonial shielding magic will permanently proof your weapon against degradation by acid."
"sanctuary",            "", "",  10, 500,    0,{0,0,0}, false, false, "This protection rite will imbue the area with powerful warding glyphs, when released over plain ground. Monsters will not willingly set foot on the affected area."
"magic mapping",		"", "",	12,	500,	0,{0,0,0}, false, false, "This powerful scouting magic will etch a purple-hued image of crystal clarity into your memory, alerting you to the precise layout of the level and revealing all hidden secrets."
"negation",				"", "",	8,	400,	0,{0,0,0}, false, false, "When this powerful anti-magic is released, all creatures (including yourself) and all items lying on the ground within your field of view will be exposed to its blast and stripped of magic. Creatures animated purely by magic will die. Potions, scrolls, items being held by other creatures and items in your inventory will not be affected."
"shattering",			"", "",	8,	500,	0,{0,0,0}, false, false, "This strange incantation will alter the physical structure of nearby stone, causing it to evaporate into the air over the ensuing minutes."
"discord",              "", "",	8,	400,	0,{0,0,0}, false, false, "This scroll will unleash a powerful blast of mind magic. Any creatures within line of sight will turn against their companions and attack indiscriminately for 30 turns."
"aggravate monsters",	"", "",	15,	50,		0,{0,0,0}, false, false, "This scroll will unleash a piercing shriek that will awaken all monsters and alert them to the reader's location."
"summon monsters",		"", "",	10,	50,		0,{0,0,0}, false, false, "This summoning incantation will call out to creatures in other planes of existence, drawing them through the fabric of reality to confront the reader."
